,Hydride Length,Material Orientation,Hydride Volume Fraction,Hydride Orientation,Hydride Spacing,Strain,Gumbel Mu,Gumbel Beta,Known Crack Strain
87,1.3333333333333337e-05,0,10,90,2.5e-06,2.5,802418860.8039836,80093849.33688194,0.77875
88,1.3333333333333337e-05,0,10,90,2.5e-06,2.75,828919461.4725041,81755824.00039202,0.77875
89,1.3333333333333337e-05,0,10,90,2.5e-06,3.0,853686113.7553489,82856184.22226897,0.77875
90,1.3333333333333337e-05,0,10,30,2.5e-06,0.25,116543953.71917586,2596714.478033633,0.8995
91,1.3333333333333337e-05,0,10,30,2.5e-06,0.5,232890338.45236564,5190024.3641211055,0.8995
92,1.3333333333333337e-05,0,10,30,2.5e-06,0.75,348933454.6060468,7779662.262461898,0.8995
93,1.3333333333333337e-05,0,10,30,2.5e-06,1.0,464621443.6200185,10306143.955468338,0.8995
94,1.3333333333333337e-05,0,10,30,2.5e-06,1.25,546259997.1934371,7429258.008827333,0.8995
95,1.3333333333333337e-05,0,10,30,2.5e-06,1.5,576678773.672003,6665165.239808036,0.8995
96,1.3333333333333337e-05,0,10,30,2.5e-06,1.75,606388288.1987314,6898265.61950912,0.8995
97,1.3333333333333337e-05,0,10,30,2.5e-06,2.0,634767131.5476412,7416454.253657516,0.8995
98,1.3333333333333337e-05,0,10,30,2.5e-06,2.25,661915613.1744237,8315226.813004284,0.8995
99,1.3333333333333337e-05,0,10,30,2.5e-06,2.5,688394758.0416267,9377302.455824848,0.8995
100,1.3333333333333337e-05,0,10,30,2.5e-06,2.75,714450460.0582395,10466682.228766229,0.8995
101,1.3333333333333337e-05,0,10,30,2.5e-06,3.0,740429361.7697347,11528431.11284865,0.8995
102,1.3333333333333337e-05,0,10,30,2.5e-06,3.25,766246714.2037892,12507234.121487329,0.8995
103,1.3333333333333337e-05,0,10,30,2.5e-06,3.5,792042860.2043117,13429755.893139133,0.8995
104,1.3333333333333337e-05,0,10,30,2.5e-06,3.75,817634106.7327867,14213286.744632345,0.8995
105,1.3333333333333337e-05,0,10,30,2.5e-06,4.0,842707310.935065,14695963.280268097,0.8995
106,1.3333333333333337e-05,0,10,30,2.5e-06,4.25,866200988.1821555,14878875.564065745,0.8995
107,1.3333333333333337e-05,0,10,30,2.5e-06,4.5,886930365.627662,14919409.235122003,0.8995
108,1.3333333333333337e-05,0,10,30,2.5e-06,4.75,904101877.3205457,14743059.128609812,0.8995
109,1.3333333333333337e-05,0,10,30,2.5e-06,5.0,918436550.0513625,14585141.511531409,0.8995
110,3e-05,90,20,60,5.000000000000001e-06,0.25,145476102.86168742,5838495.447078768,2.8695
111,3e-05,90,20,60,5.000000000000001e-06,0.5,291079486.13454527,11635332.675139237,2.8695
112,3e-05,90,20,60,5.000000000000001e-06,0.75,413680138.66476977,18987541.56590052,2.8695
113,3e-05,90,20,60,5.000000000000001e-06,1.0,501065996.24892235,17924302.161285676,2.8695
114,3e-05,90,20,60,5.000000000000001e-06,1.25,583739627.2414639,13532146.812096633,2.8695
115,3e-05,90,20,60,5.000000000000001e-06,1.5,621958777.7968189,12841787.258336421,2.8695
116,3e-05,90,20,60,5.000000000000001e-06,1.75,634153701.0432215,11415194.019744948,2.8695
117,3e-05,90,20,60,5.000000000000001e-06,2.0,638730958.9682825,12454906.689916834,2.8695
118,3e-05,90,20,60,5.000000000000001e-06,2.25,641850924.6963234,14306164.861657044,2.8695
119,3e-05,90,20,60,5.000000000000001e-06,2.5,646296356.6042122,16179978.531877818,2.8695
120,3e-05,90,20,60,5.000000000000001e-06,2.75,652677207.9931812,18538552.364063233,2.8695
121,3e-05,90,20,60,5.000000000000001e-06,3.0,659749026.51641,20500416.725711197,2.8695
122,3e-05,90,20,60,5.000000000000001e-06,3.25,666952234.040659,22069613.670101605,2.8695
123,3e-05,90,20,60,5.000000000000001e-06,3.5,674941559.0131797,23184308.789920896,2.8695
124,3e-05,90,20,60,5.000000000000001e-06,3.75,680049850.0949643,24244683.526838545,2.8695
125,3e-05,90,20,60,5.000000000000001e-06,4.0,683890670.6302791,25298601.379068695,2.8695
126,3e-05,90,20,60,5.000000000000001e-06,4.25,686803365.4938219,25994733.415253606,2.8695
127,3e-05,90,20,60,5.000000000000001e-06,4.5,689717834.7577032,27930743.04531008,2.8695
128,3e-05,90,20,60,5.000000000000001e-06,4.75,692773293.3818157,29593253.27919516,2.8695
129,3e-05,90,20,60,5.000000000000001e-06,5.0,693029641.5456281,31082192.019252412,2.8695
130,3e-05,90,20,0,5.000000000000001e-06,0.25,140819305.21928874,2323186.323579329,3.467
131,3e-05,90,20,0,5.000000000000001e-06,0.5,281385381.41751254,4647456.437069388,3.467
132,3e-05,90,20,0,5.000000000000001e-06,0.75,417663477.27377915,6235018.926159283,3.467
133,3e-05,90,20,0,5.000000000000001e-06,1.0,513340356.94245464,6528552.544623252,3.467
134,3e-05,90,20,0,5.000000000000001e-06,1.25,597739193.9290752,5704861.415613011,3.467
135,3e-05,90,20,0,5.000000000000001e-06,1.5,647112365.5257002,4318897.035843326,3.467
136,3e-05,90,20,0,5.000000000000001e-06,1.75,666946457.3979276,11112250.08579906,3.467
137,3e-05,90,20,0,5.000000000000001e-06,2.0,684687415.1942481,16278780.57666165,3.467
138,3e-05,90,20,0,5.000000000000001e-06,2.25,698208020.9111679,18235363.918107845,3.467
139,3e-05,90,20,0,5.000000000000001e-06,2.5,707166217.8449955,18720395.42810205,3.467
140,3e-05,90,20,0,5.000000000000001e-06,2.75,715924489.9741592,19275759.997653306,3.467
141,3e-05,90,20,0,5.000000000000001e-06,3.0,723114330.2101569,20184014.035431623,3.467
142,3e-05,90,20,0,5.000000000000001e-06,3.25,729768685.4198817,20771363.34839055,3.467
143,3e-05,90,20,0,5.000000000000001e-06,3.5,736500601.1355281,20751940.465736225,3.467
144,3e-05,90,20,0,5.000000000000001e-06,3.75,742140264.3924137,20945094.934062585,3.467
145,3e-05,90,20,0,5.000000000000001e-06,4.0,748134509.1503472,21577635.312008377,3.467
146,3e-05,90,20,0,5.000000000000001e-06,4.25,753282406.0105779,22035807.821676586,3.467
147,3e-05,90,20,0,5.000000000000001e-06,4.5,758229898.4196737,23225845.135595284,3.467
148,3e-05,90,20,0,5.000000000000001e-06,4.75,764116092.9919457,24248715.32567686,3.467
149,3e-05,90,20,0,5.000000000000001e-06,5.0,769577599.1966343,24940171.32310023,3.467
150,3e-05,90,10,0,5.000000000000001e-06,0.25,119893022.40019447,2120998.8982167514,3.296
151,3e-05,90,10,0,5.000000000000001e-06,0.5,239580557.14146408,4245176.510675237,3.296
152,3e-05,90,10,0,5.000000000000001e-06,0.75,357464985.1755995,5536999.535539805,3.296
153,3e-05,90,10,0,5.000000000000001e-06,1.0,457334513.05531067,5720266.136937094,3.296
154,3e-05,90,10,0,5.000000000000001e-06,1.25,550317922.9999527,5099066.572054489,3.296
155,3e-05,90,10,0,5.000000000000001e-06,1.5,623577706.484514,2664811.5063672885,3.296
156,3e-05,90,10,0,5.000000000000001e-06,1.75,641647001.4369152,4138438.3633064968,3.296
157,3e-05,90,10,0,5.000000000000001e-06,2.0,655721793.4909384,7568006.733076587,3.296
158,3e-05,90,10,0,5.000000000000001e-06,2.25,668206786.1810443,10883009.038704395,3.296
159,3e-05,90,10,0,5.000000000000001e-06,2.5,680200314.452721,12759089.302439068,3.296
160,3e-05,90,10,0,5.000000000000001e-06,2.75,691488033.5469152,13765555.203376431,3.296
161,3e-05,90,10,0,5.000000000000001e-06,3.0,700847754.2379351,15569301.46198063,3.296
162,3e-05,90,10,0,5.000000000000001e-06,3.25,708884144.2167966,17697958.203018896,3.296
163,3e-05,90,10,0,5.000000000000001e-06,3.5,714277228.5306904,19254840.055278167,3.296
164,3e-05,90,10,0,5.000000000000001e-06,3.75,719041520.9938817,20854147.98295964,3.296
165,3e-05,90,10,0,5.000000000000001e-06,4.0,723871137.7838824,22528082.7553563,3.296
166,3e-05,90,10,0,1e-05,0.25,123332091.50830454,1888588.2968880162,4.38825
167,3e-05,90,10,0,1e-05,0.5,246452995.52937308,3782899.196684926,4.38825
168,3e-05,90,10,0,1e-05,0.75,368166942.4984308,5256684.414823076,4.38825
169,3e-05,90,10,0,1e-05,1.0,469992972.4431834,5658806.344945151,4.38825
170,3e-05,90,10,0,1e-05,1.25,561371630.8270254,5231209.289942723,4.38825
171,3e-05,90,10,0,1e-05,1.5,628142895.2075388,2837749.708862081,4.38825
172,3e-05,90,10,0,1e-05,1.75,643597486.9814423,3572423.1476912526,4.38825
173,3e-05,90,10,0,1e-05,2.0,655588190.3306139,5552139.711212803,4.38825
174,3e-05,90,10,0,1e-05,2.25,665502286.8812764,7622225.783160105,4.38825
175,3e-05,90,10,0,1e-05,2.5,674065010.8192806,9355725.874027867,4.38825
176,3e-05,90,10,0,1e-05,2.75,681586250.8589783,11222393.15580485,4.38825
177,3e-05,90,10,0,1e-05,3.0,690023398.0118625,13104328.191116257,4.38825
178,3e-05,90,10,0,1e-05,3.25,697557336.57588,14813718.716612695,4.38825
179,3e-05,90,10,0,1e-05,3.5,704577717.4334166,16187977.918350196,4.38825
180,3e-05,90,10,0,1e-05,3.75,712196109.1554143,17842619.786541943,4.38825
181,3e-05,90,10,0,1e-05,4.0,719623239.9021052,19038082.193402596,4.38825
182,3e-05,90,10,0,1e-05,4.25,726955831.4755888,20949572.117135543,4.38825
183,3e-05,90,10,0,1e-05,4.5,734131519.6565272,23180528.698511325,4.38825
184,3e-05,90,10,0,1e-05,4.75,740331265.2706225,24895671.54365902,4.38825
185,3e-05,90,10,0,1e-05,5.0,745327556.8524548,27806344.40846476,4.38825
186,1.3333333333333337e-05,90,10,0,1e-05,0.25,124657266.68873426,1600578.3139618835,3.797
187,1.3333333333333337e-05,90,10,0,1e-05,0.5,249105417.57502496,3200970.5409990884,3.797
188,1.3333333333333337e-05,90,10,0,1e-05,0.75,372416938.8670306,4477246.076180553,3.797
189,1.3333333333333337e-05,90,10,0,1e-05,1.0,477988716.4361228,4770165.76005912,3.797
190,1.3333333333333337e-05,90,10,0,1e-05,1.25,567818232.8098264,4581634.652582934,3.797
191,1.3333333333333337e-05,90,10,0,1e-05,1.5,631863063.3953712,3026453.992691098,3.797
192,1.3333333333333337e-05,90,10,0,1e-05,1.75,648476955.0641364,4537744.269200003,3.797
193,1.3333333333333337e-05,90,10,0,1e-05,2.0,662520745.331464,6849570.503593651,3.797
194,1.3333333333333337e-05,90,10,0,1e-05,2.25,675232280.5148547,9942627.571606284,3.797
195,1.3333333333333337e-05,90,10,0,1e-05,2.5,686051939.0393695,14037534.451522484,3.797
196,1.3333333333333337e-05,90,10,0,1e-05,2.75,696148455.2616141,17351178.20281546,3.797
197,1.3333333333333337e-05,90,10,0,1e-05,3.0,703716960.6636043,19851316.041070558,3.797
198,1.3333333333333337e-05,90,10,0,1e-05,3.25,710255675.5025778,21769017.348680448,3.797
199,1.3333333333333337e-05,90,10,0,1e-05,3.5,718024732.3577509,22683307.906511247,3.797
200,1.3333333333333337e-05,90,10,0,1e-05,3.75,726133617.2932284,24030399.770433366,3.797
201,1.3333333333333337e-05,90,10,0,1e-05,4.0,732562237.3964105,25848571.831786998,3.797
202,1.3333333333333337e-05,90,10,0,1e-05,4.25,738793763.1577308,27133682.273027025,3.797
203,1.3333333333333337e-05,90,10,0,1e-05,4.5,742537734.7775133,29439716.397888407,3.797
204,1.3333333333333337e-05,90,10,0,1e-05,4.75,746684948.4481444,31824636.909189783,3.797
205,1.3333333333333337e-05,90,10,0,1e-05,5.0,750314212.7583407,32739594.58962691,3.797
206,1.3333333333333337e-05,30,10,60,1e-05,0.25,119924684.03253421,4060007.7088652225,1.191
207,1.3333333333333337e-05,30,10,60,1e-05,0.5,239632116.99077,8130784.18398846,1.191
208,1.3333333333333337e-05,30,10,60,1e-05,0.75,358944266.27934957,12143233.028931458,1.191
209,1.3333333333333337e-05,30,10,60,1e-05,1.0,459443782.06011605,12572435.39537367,1.191
210,1.3333333333333337e-05,30,10,60,1e-05,1.25,513131207.0658288,12748380.78897057,1.191
211,1.3333333333333337e-05,30,10,60,1e-05,1.5,548365239.6474168,15524793.278421883,1.191
212,1.3333333333333337e-05,30,10,60,1e-05,1.75,584052283.360405,17775723.704784676,1.191
213,1.3333333333333337e-05,30,10,60,1e-05,2.0,618179746.5196257,18768274.906826757,1.191
214,1.3333333333333337e-05,30,10,60,1e-05,2.25,647979782.532451,19011179.30500959,1.191
215,1.3333333333333337e-05,30,10,60,1e-05,2.5,674110862.6531193,18973791.633653305,1.191
216,1.3333333333333337e-05,30,10,60,1e-05,2.75,697549633.8975163,18690439.818255287,1.191
217,1.3333333333333337e-05,30,10,60,1e-05,3.0,719025893.3264492,18392751.97728665,1.191
218,1.3333333333333337e-05,30,10,60,1e-05,3.25,739244556.6944633,18136069.32292775,1.191
219,1.3333333333333337e-05,30,10,60,1e-05,3.5,758039774.1273513,17974373.474525318,1.191
220,1.3333333333333337e-05,30,10,60,1e-05,3.75,775569544.61113,17781018.489963204,1.191
221,1.3333333333333337e-05,30,10,60,1e-05,4.0,791190282.7020862,17704461.109818466,1.191
222,1.3333333333333337e-05,30,10,60,1e-05,4.25,805628372.0243809,17665429.385330815,1.191
223,1.3333333333333337e-05,30,10,60,1e-05,4.5,818408452.6797762,17874298.704551034,1.191
224,1.3333333333333337e-05,30,10,60,1e-05,4.75,829618823.5854952,18211322.085759953,1.191
225,1.3333333333333337e-05,30,10,60,1e-05,5.0,839473540.8821282,18724547.617915433,1.191
226,3e-05,30,15,30,2.5e-06,0.25,97497337.66176404,1464527.044332194,2.373
227,3e-05,30,15,30,2.5e-06,0.5,194822172.60237455,2931044.716355856,2.373
228,3e-05,30,15,30,2.5e-06,0.75,291875986.5540297,4391948.697640555,2.373
229,3e-05,30,15,30,2.5e-06,1.0,388228143.25336576,5634545.703514904,2.373
230,3e-05,30,15,30,2.5e-06,1.25,444149259.1336788,4480002.146401605,2.373
231,3e-05,30,15,30,2.5e-06,1.5,472250266.6359988,4392209.031223375,2.373
232,3e-05,30,15,30,2.5e-06,1.75,498324330.87941897,4768808.18941894,2.373
233,3e-05,30,15,30,2.5e-06,2.0,523905032.64635265,5241281.247136524,2.373
234,3e-05,30,15,30,2.5e-06,2.25,549286753.6082184,5712322.280475199,2.373
235,3e-05,30,15,30,2.5e-06,2.5,574209733.1428385,6143583.144868687,2.373
236,3e-05,30,15,30,2.5e-06,2.75,597983971.3983762,6540945.007362452,2.373
237,3e-05,30,15,30,2.5e-06,3.0,620341046.8451977,6933504.879408481,2.373
238,3e-05,30,15,30,2.5e-06,3.25,641629735.0272785,7287931.473317064,2.373
239,3e-05,30,15,30,2.5e-06,3.5,662263070.0334896,7578261.446701719,2.373
240,3e-05,30,15,30,2.5e-06,3.75,682202250.4272621,7819735.553665509,2.373
241,3e-05,30,15,30,2.5e-06,4.0,701414968.9582548,7968811.377360163,2.373
242,3e-05,30,15,30,2.5e-06,4.25,719608946.0382814,8002517.51922599,2.373
243,3e-05,30,15,30,2.5e-06,4.5,736509189.286511,8031276.266630584,2.373
244,3e-05,30,15,30,2.5e-06,4.75,751947856.5420425,8021917.123793881,2.373
245,3e-05,30,15,30,2.5e-06,5.0,766259074.3091073,7959402.501648061,2.373
246,3e-05,30,15,90,2.5e-06,0.25,218355601.96102595,7800262.984667152,1.4405
247,3e-05,30,15,90,2.5e-06,0.5,435385324.624686,15254407.878531896,1.4405
